customer_id,work_add_lat,work_add_lon,home_add_lat,home_add_lon
00021683ccb416637fe9a4cd35e4606e,0,0,0,0
0002d0f8a642272b41c292c12ab6e602,0,0,0,0
0004d182d9fede3ba2534b2d5e5ad27e,0,0,0,0
0008c2445518c9392cb356c5c3db3392,0,0,0,0
000b373cc4969c0be8e0933c08da67e1,0,0,0,0
000c589e94c95984721de4b2bfb9ee4e,0,0,0,0
001611e3ac051a0ec91c88bbd9dbeb5a,0,0,0,0
001691ae3885e80add35148a01e75206,0,0,0,0
002044159304738ea7e3598131809851,0,0,0,0
0026319faa345a573522f0a04f5c55bb,0,0,0,0
0029d9be3692701efe66741fa74a8f8b,0,0,0,0
002c40ec938e91de248400dec824bd49,0,0,0,0
00317c648bc11161417b342ad480e724,0,0,0,0
0038ea686d27899b0942409157d04ff2,0,0,0,0
003bc1334379d480c7e5f28240dc40d9,0,0,0,0
00450ac1c22c9ee6dda590ff5366236c,0,0,0,0
00509465377a24375b276c5da9a67fa5,0,0,0,0
005b206d0ffec59e249e6f7adc1b2e83,0,0,0,0
0069673252af134ecf00854d7ecaed5d,0,0,0,0
007c458cded5ba3b7b02fcfe8724e80b,0,0,0,0
007cf1e85db00eea3a958667b7e32fc9,0,0,0,0
0088f5bf466ccf990e0773fd3255e887,0,0,0,0
008c9f725cf88093477cc5f7278a2351,0,0,0,0
008fe6ff2d4c530aee50c0446d55790e,0,0,0,0
00963fad786043b96ac74a1fca0a2da6,0,0,0,0
00a0973ba20bf9d1daafe1644b20dc8b,0,0,0,0
00a9c3a172cfc6d2e0198da4c539b3c9,0,0,0,0
00ad61328ea4906b9354155ca96227a3,0,0,0,0
00baa0945c9a5905483c623286241204,0,0,0,0
00cb489f5903eed7c454b14f15b1144d,0,0,0,0
00d5f4597785639fbea644760fcdd56e,0,0,0,0
00e0ea572b1542e80303e337069fd247,0,0,0,0
00e3681003cdaa589753d93b0df92e61,0,0,0,0
00f5a40ccd506b5f36789b7009aaab58,0,0,0,0
00fd410f5c580c8351cafa88d82b60f3,0,0,0,0
